order_id,order_date,customer_id,customer_segment,customer_city,customer_country,warehouse_id,warehouse_city,product_category,product_weight_kg,order_value_usd,shipping_method,carrier,distance_km,promised_delivery_days,actual_delivery_days,delivery_status,late_delivery,delivery_delay_days,shipping_cost_usd,package_size,payment_method,order_priority,weather_condition,customer_rating,return_requested,return_reason,delivery_attempts,warehouse_processing_hours,tracking_status
ORD-000001,15-11-2026,CUS-002353,Small Business,Tokyo,Japan,WH-004,Toronto,Home & Kitchen,8.23,10.39,International,EagleCourier,1579.5,11,16,Delivered,Yes,5,133.1,Large,Digital Wallet,Normal,Snow,3,Yes,Late Delivery,2,25.1,Delivered
ORD-000002,08-04-2026,CUS-003258,Consumer,Vancouver,Canada,WH-007,Paris,Beauty,0.1,117.69,Standard,BlueRoute,1049,5,5,Delivered,No,0,26.95,Small,Debit Card,Normal,Cloudy,5,No,None,1,25.9,Delivered
ORD-000003,05-01-2026,CUS-001221,Consumer,Houston,United States,WH-005,London,Home & Kitchen,5.51,335.23,International,SpeedyCargo,4552.6,12,16,Delivered,Yes,4,338.62,Large,Debit Card,Low,Snow,4,Yes,Product Defect,1,31.5,Delivered
ORD-000004,29-05-2026,CUS-001717,Small Business,Delhi,India,WH-002,Los Angeles,Grocery,3.75,10.57,Standard,ParcelPro,7074.9,8,11,In Transit,Yes,3,270.45,Large,Debit Card,Normal,Snow,3,No,None,1,12.6,In Transit
ORD-000005,22-02-2026,CUS-000716,Small Business,Nagoya,Japan,WH-006,Berlin,Beauty,0.1,31.37,Economy,GlobalExpress,522,8,12,Delivered,Yes,4,12.9,Small,Credit Card,Normal,Storm,2,No,None,1,24.9,Delivered
ORD-000006,06-03-2026,CUS-005749,Consumer,Brisbane,Australia,WH-002,Los Angeles,Toys,0.76,76.07,International,SwiftShip,3398.8,12,14,Delivered,Yes,2,189.13,Medium,Debit Card,Low,Extreme Heat,3,No,None,1,32.2,Delivered
ORD-000007,10-07-2026,CUS-002409,Small Business,Ottawa,Canada,WH-003,Chicago,Grocery,4.81,103.78,Standard,SwiftShip,489.6,4,5,Delivered,Yes,1,22.82,Large,Bank Transfer,Normal,Rain,3,No,None,1,21,Delivered
ORD-000008,03-12-2026,CUS-003537,Consumer,Los Angeles,United States,WH-004,Toronto,Electronics,3.51,541.76,Standard,PrimeDelivery,4320.7,7,12,Delivered,Yes,5,177.55,Large,Cash on Delivery,Normal,Snow,2,No,None,1,21.2,Delivered
ORD-000009,18-12-2026,CUS-004446,Consumer,Phoenix,United States,WH-002,Los Angeles,Grocery,2.09,52.74,International,GlobalExpress,2598.2,11,11,Delivered,No,0,204.24,Large,Credit Card,High,Clear,4,No,None,1,12.7,Delivered
ORD-000010,05-11-2026,CUS-005134,Enterprise,Dusseldorf,Germany,WH-002,Los Angeles,Home & Kitchen,0.1,578.25,Economy,SwiftShip,281.6,8,9,Delivered,Yes,1,7.01,Small,Debit Card,Normal,Rain,2,No,None,1,15.1,Delivered
ORD-000011,31-10-2026,CUS-003289,Consumer,Brisbane,Australia,WH-003,Chicago,Health & Personal Care,0.5,93.24,International,BlueRoute,5577.1,13,13,Delivered,No,0,368.5,Medium,PayPal,Urgent,Cloudy,4,No,None,1,3,Delivered
ORD-000012,04-07-2026,CUS-003145,Consumer,San Antonio,United States,WH-006,Berlin,Home & Kitchen,0.1,78.62,Express,BlueRoute,1244.9,3,4,Delivered,Yes,1,39,Small,Debit Card,Normal,Cloudy,3,No,None,1,10,Delivered
ORD-000013,12-09-2026,CUS-000129,Small Business,Glasgow,United Kingdom,WH-003,Chicago,Automotive,0.1,107.26,International,SpeedyCargo,2440.9,11,14,In Transit,Yes,3,113.77,Small,PayPal,Normal,Storm,2,Yes,Product Defect,2,25,In Transit
ORD-000014,05-07-2026,CUS-002169,Enterprise,Munich,Germany,WH-002,Los Angeles,Electronics,3.79,15.8,International,FastTrack Logistics,3080.4,12,11,Delivered,No,0,230.43,Large,Digital Wallet,High,Cloudy,5,No,None,1,2.6,Delivered
ORD-000015,29-03-2026,CUS-004461,Small Business,Chicago,United States,WH-004,Toronto,Home & Kitchen,14.42,274.19,Express,BlueRoute,851.1,2,2,Delivered,No,0,96.23,Oversized,Credit Card,High,Cloudy,4,No,None,1,9.7,Delivered
